index,ego_x,ego_y,ego_angle,ego_acceleration,ego_vel,num_tracked_cars,car_0_x,car_0_y,car_0_angle,car_0_acceleration,car_0_vel,car_0_in_fov,car_0_d_y
27,0.0,38.80165215669122,270.0,14.61435909364903,16.87674016204103,1,34.0,46.80165215669122,270.0,14.61435909364903,16.87674016204103,1.0,-8.0
28,0.0,39.999031736776516,270.0,14.844729166528825,17.871337016198463,1,34.0,47.999031736776516,270.0,14.844729166528825,17.871337016198463,1.0,-8.0
29,0.0,41.284147688041045,270.0,15.10922019096748,18.898763989184253,1,34.0,49.284147688041045,270.0,15.10922019096748,18.898763989184253,1.0,-8.0
30,0.0,42.64048863165672,270.0,15.403328795663326,19.94619034728936,1,34.0,50.64048863165672,270.0,15.403328795663326,19.94619034728936,1.0,-8.0
31,0.0,44.04745552602857,270.0,15.721127445636613,20.999505886147013,1,34.0,52.04745552602857,270.0,15.721127445636613,20.999505886147013,1.0,-8.0
32,0.0,45.61453797337575,270.0,-5.0,20.619505886147014,1,34.0,53.61453797337575,270.0,-5.0,20.619505886147014,1.0,-8.0
33,0.0,46.993544373633746,270.0,-5.0,20.279505886147014,1,34.0,54.993544373633746,270.0,-5.0,20.279505886147014,1.0,-8.0
34,0.0,48.3298262680056,270.0,-5.0,19.944505886147013,1,34.0,56.3298262680056,270.0,-5.0,19.944505886147013,1.0,-8.0
35,0.0,49.7035714259339,270.0,-4.565357979996616,19.62493082754725,1,34.0,57.7035714259339,270.0,-4.565357979996616,19.62493082754725,1.0,-8.0
36,0.0,51.01900553687365,270.0,-4.122228662081233,19.344619278525727,1,34.0,59.01900553687365,270.0,-4.122228662081233,19.344619278525727,1.0,-8.0
37,0.0,52.31751590941106,270.0,-3.6599780281886973,19.095740772608895,1,34.0,60.31751590941106,270.0,-3.6599780281886973,19.095740772608895,1.0,-8.0
38,0.0,53.60131980069792,270.0,-3.180467398473213,18.879468989512716,1,34.0,61.60131980069792,270.0,-3.180467398473213,18.879468989512716,1.0,-8.0
39,0.0,54.854155774026076,270.0,-2.6929046489631907,18.699044378032184,1,34.0,62.854155774026076,270.0,-2.6929046489631907,18.699044378032184,1.0,-8.0
40,0.0,56.11558860847545,270.0,-2.184728212978973,18.550482859549614,1,34.0,64.11558860847545,270.0,-2.184728212978973,18.550482859549614,1.0,-8.0
41,0.0,57.36932127424066,270.0,-1.6652613936333966,18.437245084782543,1,34.0,65.36932127424066,270.0,-1.6652613936333966,18.437245084782543,1.0,-8.0
42,0.0,58.61779832056212,270.0,-1.13659590046539,18.359956563550895,1,34.0,66.61779832056212,270.0,-1.13659590046539,18.359956563550895,1.0,-7.999999999999993
43,0.0,59.86349698801099,270.0,-0.6008604828267489,18.319098050718676,1,34.0,67.86349698801098,270.0,-0.6008604828267489,18.319098050718676,1.0,-7.999999999999986
44,0.0,61.10891723351573,270.0,-0.06021235815982662,18.315003610363807,1,34.0,69.10891723351571,270.0,-0.06021235815982662,18.315003610363807,1.0,-7.999999999999979
45,0.0,62.37499090687946,270.0,0.49116241306919384,18.34889381686558,1,34.0,70.37499090687943,270.0,0.49116241306919384,18.34889381686558,1.0,-7.999999999999972
46,0.0,63.62750196079806,270.0,1.035093938523782,18.419280204685197,1,34.0,71.62750196079803,270.0,1.035093938523782,18.419280204685197,1.0,-7.999999999999972
47,0.0,64.88730683341568,270.0,1.577382936641639,18.526542244376827,1,34.0,72.88730683341565,270.0,1.577382936641639,18.526542244376827,1.0,-7.999999999999972
48,0.0,66.2512307498674,270.0,2.1554386587001035,18.683889266461936,1,34.0,74.25123074986737,270.0,2.1554386587001035,18.683889266461936,1.0,-7.999999999999972
49,0.0,67.55325351600978,270.0,2.6957376090106613,18.869895161483672,1,34.0,75.55325351600975,270.0,2.6957376090106613,18.869895161483672,1.0,-7.999999999999972
50,0.0,68.85129598023553,270.0,3.2200677432672697,19.088859768025845,1,34.0,76.8512959802355,270.0,3.2200677432672697,19.088859768025845,1.0,-7.999999999999972
51,0.0,70.14697823904271,270.0,3.726588182098332,19.338541176226432,1,34.0,78.14697823904268,270.0,3.726588182098332,19.338541176226432,1.0,-7.999999999999972
52,0.0,71.48155092442336,270.0,4.228348918091225,19.626068902656634,1,34.0,79.48155092442333,270.0,4.228348918091225,19.626068902656634,1.0,-7.999999999999972
53,0.0,72.81763445339897,270.0,4.708601581111381,19.941545208591098,1,34.0,80.81763445339894,270.0,4.708601581111381,19.941545208591098,1.0,-7.999999999999972
54,0.0,74.19761055009232,270.0,5.179719400770115,20.293766127843465,1,34.0,82.19761055009229,270.0,5.179719400770115,20.293766127843465,1.0,-7.999999999999972
55,0.0,75.55446664678567,270.0,-5.0,19.953766127843465,1,34.0,83.55446664678564,270.0,-5.0,19.953766127843465,1.0,-7.999999999999972
