index,ego_x,ego_y,ego_angle,ego_acceleration,ego_vel,num_tracked_cars,car_0_x,car_0_y,car_0_angle,car_0_acceleration,car_0_vel,car_0_in_fov,car_0_d_y
15,0.0,28.822440349999997,270.0,9.67,4.987669999999999,1,31.0,36.822440349999994,270.0,9.67,4.987669999999999,1.0,-7.9999999999999964
16,0.0,29.177544259999998,270.0,10.3,5.636569999999999,1,31.0,37.17754425999999,270.0,10.3,5.636569999999999,1.0,-7.999999999999993
17,0.0,29.58309498,270.0,10.940000000000001,6.336729999999999,1,31.0,37.58309497999999,270.0,10.940000000000001,6.336729999999999,1.0,-7.999999999999993
18,0.0,30.028230299999997,270.0,11.570000000000002,7.065639999999999,1,31.0,38.02823029999999,270.0,11.570000000000002,7.065639999999999,1.0,-7.999999999999993
19,0.0,30.539126399999997,270.0,12.220000000000002,7.85994,1,31.0,38.53912639999999,270.0,12.220000000000002,7.85994,1.0,-7.999999999999989
20,0.0,31.094837119999998,270.0,12.860000000000003,8.68298,1,31.0,39.09483711999999,270.0,12.860000000000003,8.68298,1.0,-7.999999999999989
21,0.0,31.705843839999996,270.0,13.500000000000004,9.546980000000001,1,31.0,39.705843839999986,270.0,13.500000000000004,9.546980000000001,1.0,-7.999999999999989
22,0.0,32.36338555,270.0,14.130000000000004,10.437170000000002,1,31.0,40.36338554999998,270.0,14.130000000000004,10.437170000000002,1.0,-7.999999999999986
23,0.0,33.229873299999994,270.0,14.880000000000004,11.553170000000001,1,31.0,41.22565454999998,270.0,14.130000000000004,11.496920000000003,1.0,-7.995781249999986
24,0.0,34.142571939999996,270.0,15.600000000000005,12.676370000000002,1,31.0,42.12687209280929,270.0,14.166532177722186,12.516910316796,1.0,-7.984300152809297
25,0.0,35.00560012,270.0,16.230000000000004,13.698860000000003,1,31.0,42.97191764148673,270.0,14.230334774323355,13.413421407578372,1.0,-7.9663175214867366
26,0.0,35.935545639999994,270.0,16.860000000000003,14.761040000000003,1,31.0,43.87382196253065,270.0,14.325717401481002,14.315941603871675,1.0,-7.938276322530655
27,0.0,36.96899299,270.0,17.51,15.899190000000003,1,31.0,44.865436094931404,270.0,14.456314354815163,15.255602036934661,1.0,-7.896443104931407
28,0.0,38.06088355,270.0,18.150000000000002,17.060790000000004,1,31.0,45.901662070457256,270.0,14.616075479012789,16.19103086759148,1.0,-7.840778520457256
29,0.0,39.21025114,270.0,18.78,18.243930000000006,1,31.0,46.98045168334812,270.0,14.803393356665595,17.12364464906141,1.0,-7.770200543348125
30,0.0,40.47819834,270.0,19.43,19.506880000000006,1,31.0,48.15697718189089,270.0,15.026886710951963,18.10039228527329,1.0,-7.678778841890889
31,0.0,41.78674992,270.0,20.06,20.770660000000007,1,31.0,49.35791618550105,270.0,15.2719298659466,19.062523866827927,1.0,-7.5711662655010485
32,0.0,43.200859359999995,270.0,20.7,22.095460000000006,1,31.0,50.64160534368056,270.0,15.548737964483866,20.057643096554894,1.0,-7.440745983680564
